Date,S_and_P_Comp_P,Dividend_D,Earnings_E,Consumer_Price_Index_CPI,Date_Fraction,Long_Interest_Rate_GS10,Real_Price,Real_Dividend, Real_Total_Return_Price ,Real_Earnings, Real_TR_Scaled_Earnings ,Monthly_Total_Bond_Returns,Real_Total_Bond_Returns,10_Year_Annualized_Stock_Real_Return,10_Year_Annualized_Bond_Real_Return,Real_10_Year_Excess_Annualized_Returns
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,137.13,6.47,246.05,12.24,21.96,1.01,2.32,9.07%,6.10%,2.97%
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,140.55,6.75,253.19,12.76,22.99,1.01,2.38,8.71%,5.84%,2.87%
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,147,6.9,265.85,13.03,23.57,1.01,2.39,8.14%,5.80%,2.34%
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,152.29,7.04,276.47,13.3,24.15,1.01,2.41,7.11%,5.38%,1.73%
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,150.44,7.12,274.19,13.43,24.48,1.01,2.4,6.93%,5.32%,1.61%
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,154.8,7.26,283.24,13.7,25.07,1.01,2.41,6.13%,5.28%,0.85%
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,161.28,7.33,296.22,13.82,25.39,1.01,2.4,5.15%,5.60%,-0.45%
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,166.22,7.4,306.41,13.95,25.71,1.01,2.39,4.59%,5.66%,-1.08%
1881.01,6.19,0.27,0.49,9.42,1881.04,3.7,177.96,7.62,329.23,13.97,25.84,1,2.42,4.54%,5.65%,-1.11%
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,175.61,7.68,326.07,13.71,25.46,1,2.41,4.68%,5.62%,-0.94%
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,177.6,7.83,330.98,13.59,25.33,1,2.42,4.24%,5.49%,-1.25%
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,175.28,7.89,327.88,13.34,24.95,1,2.4,4.60%,5.46%,-0.87%
1881.05,6.5,0.29,0.47,9.51,1881.37,3.67,185,8.11,347.33,13.35,25.07,1,2.43,4.12%,5.48%,-1.36%
1881.06,6.58,0.29,0.47,9.51,1881.46,3.67,187.28,8.25,352.89,13.23,24.94,1,2.44,4.03%,5.73%,-1.70%
1881.07,6.35,0.3,0.46,9.61,1881.54,3.66,178.94,8.31,338.49,12.99,24.56,1,2.43,4.46%,5.96%,-1.50%
1881.08,6.2,0.3,0.46,9.8,1881.62,3.65,171.32,8.29,325.39,12.62,23.97,1,2.39,5.26%,6.16%,-0.91%
1881.09,6.25,0.31,0.45,10.18,1881.71,3.65,166.25,8.11,317.03,12.04,22.95,1,2.31,6.53%,6.69%,-0.17%
1881.1,6.15,0.31,0.45,10.28,1881.79,3.64,162.07,8.17,310.37,11.81,22.62,1,2.29,6.79%,6.79%,0.00%
1881.11,6.19,0.32,0.44,10.18,1881.87,3.63,164.65,8.38,316.65,11.82,22.72,1,2.32,6.58%,6.82%,-0.23%
1881.12,6.01,0.32,0.44,10.18,1881.96,3.63,159.86,8.51,308.8,11.7,22.61,1,2.33,7.21%,6.81%,0.40%
1882.01,5.92,0.32,0.44,10.18,1882.04,3.62,157.47,8.51,305.55,11.68,22.67,1,2.34,7.83%,7.08%,0.75%
1882.02,5.79,0.32,0.44,10.28,1882.12,3.62,152.59,8.43,297.43,11.55,22.52,1,2.33,8.18%,7.17%,1.01%
1882.03,5.78,0.32,0.44,10.28,1882.21,3.62,152.32,8.43,298.29,11.53,22.58,1,2.33,8.59%,7.45%,1.14%
1882.04,5.78,0.32,0.44,10.37,1882.29,3.62,150.92,8.36,296.92,11.4,22.43,1,2.32,8.80%,7.68%,1.12%
1882.05,5.71,0.32,0.44,10.47,1882.37,3.62,147.74,8.28,292.01,11.28,22.29,1,2.3,9.02%,7.77%,1.25%
1882.06,5.68,0.32,0.44,10.56,1882.46,3.62,145.64,8.21,289.21,11.15,22.15,1,2.29,9.10%,7.85%,1.25%
1882.07,6,0.32,0.43,10.47,1882.54,3.63,155.25,8.28,309.65,11.23,22.41,1,2.32,8.11%,7.46%,0.65%
1882.08,6.18,0.32,0.43,10.56,1882.62,3.63,158.46,8.21,317.43,11.11,22.26,1,2.3,7.89%,7.41%,0.49%
1882.09,6.24,0.32,0.43,10.28,1882.71,3.63,164.45,8.43,330.83,11.4,22.93,1,2.37,7.21%,7.10%,0.11%
1882.1,6.07,0.32,0.43,10.18,1882.79,3.63,161.46,8.51,326.25,11.48,23.2,1,2.4,7.62%,6.99%,0.62%
1882.11,5.81,0.32,0.43,10.09,1882.87,3.63,156,8.59,316.67,11.57,23.48,1,2.43,7.66%,6.61%,1.05%
1882.12,5.84,0.32,0.43,9.99,1882.96,3.63,158.3,8.67,322.8,11.66,23.77,1,2.46,7.24%,6.37%,0.88%
1883.01,5.81,0.32,0.43,9.99,1883.04,3.63,157.49,8.7,322.62,11.59,23.74,1,2.47,7.08%,5.97%,1.12%
1883.02,5.68,0.32,0.43,10.09,1883.12,3.63,152.51,8.64,313.9,11.41,23.49,1,2.45,7.10%,5.94%,1.15%
1883.03,5.75,0.32,0.42,9.99,1883.21,3.63,155.86,8.74,322.29,11.45,23.68,1,2.49,6.72%,6.10%,0.61%
1883.04,5.87,0.32,0.42,9.9,1883.29,3.63,160.64,8.85,333.71,11.49,23.88,1,2.52,6.52%,6.13%,0.38%
1883.05,5.77,0.32,0.42,9.8,1883.37,3.63,159.44,8.96,332.76,11.54,24.08,1,2.55,5.74%,6.17%,-0.43%
1883.06,5.82,0.33,0.42,9.51,1883.46,3.63,165.65,9.25,347.32,11.81,24.77,1,2.63,5.09%,6.13%,-1.04%
1883.07,5.73,0.33,0.41,9.32,1883.54,3.63,166.41,9.46,350.58,11.98,25.24,1,2.7,4.29%,6.19%,-1.90%
1883.08,5.47,0.33,0.41,9.32,1883.62,3.62,158.86,9.49,336.34,11.91,25.21,1,2.7,4.94%,6.62%,-1.68%
1883.09,5.53,0.33,0.41,9.23,1883.71,3.62,162.26,9.61,345.23,11.96,25.44,1,2.74,5.02%,6.09%,-1.07%
1883.1,5.38,0.33,0.41,9.23,1883.79,3.62,157.86,9.63,337.58,11.88,25.41,1,2.75,5.47%,5.96%,-0.48%
1883.11,5.46,0.33,0.4,9.13,1883.87,3.62,161.88,9.76,347.9,11.93,25.65,1,2.79,5.64%,6.13%,-0.49%
1883.12,5.34,0.33,0.4,9.23,1883.96,3.62,156.69,9.68,338.48,11.74,25.35,1,2.77,5.75%,6.38%,-0.64%
1884.01,5.18,0.33,0.39,9.23,1884.04,3.62,151.99,9.63,330.08,11.52,25.01,1,2.78,6.14%,6.68%,-0.54%
1884.02,5.32,0.33,0.39,9.23,1884.12,3.61,156.1,9.59,340.73,11.3,24.66,1,2.79,6.14%,6.84%,-0.70%
1884.03,5.3,0.33,0.38,9.23,1884.21,3.6,155.51,9.54,341.18,11.08,24.3,1,2.8,6.79%,7.16%,-0.37%
1884.04,5.06,0.32,0.37,9.04,1884.29,3.6,151.6,9.69,334.36,11.09,24.45,1,2.87,7.19%,6.94%,0.25%
1884.05,4.65,0.32,0.36,8.85,1884.37,3.59,142.31,9.85,315.69,11.09,24.61,1,2.94,7.45%,6.73%,0.72%
1884.06,4.46,0.32,0.36,8.85,1884.46,3.58,136.49,9.79,304.6,10.86,24.25,1,2.95,7.74%,6.74%,1.00%
1884.07,4.46,0.32,0.35,8.75,1884.54,3.57,137.98,9.85,309.74,10.75,24.13,1,2.99,7.38%,6.63%,0.74%
1884.08,4.74,0.32,0.34,8.75,1884.62,3.56,146.64,9.8,331.02,10.52,23.74,1,3,6.80%,6.34%,0.46%
1884.09,4.59,0.32,0.33,8.66,1884.71,3.55,143.56,9.85,325.92,10.4,23.61,1,3.05,7.03%,6.09%,0.94%
1884.1,4.44,0.31,0.33,8.56,1884.79,3.55,140.41,9.91,320.65,10.28,23.47,1,3.09,7.21%,6.28%,0.93%
1884.11,4.35,0.31,0.32,8.37,1884.87,3.54,140.69,10.08,323.2,10.27,23.59,1,3.17,7.17%,6.05%,1.12%
1884.12,4.34,0.31,0.31,8.28,1884.96,3.53,141.98,10.14,328.11,10.14,23.44,1,3.22,7.11%,6.09%,1.02%
1885.01,4.24,0.3,0.31,8.28,1885.04,3.52,138.71,9.95,322.47,10.03,23.33,1,3.23,7.21%,6.10%,1.11%
1885.02,4.37,0.3,0.3,8.37,1885.12,3.51,141.34,9.65,330.44,9.81,22.93,1,3.21,6.84%,6.20%,0.64%
1885.03,4.38,0.29,0.3,8.18,1885.21,3.5,144.96,9.68,340.79,9.93,23.34,1,3.3,6.56%,5.93%,0.62%
1885.04,4.37,0.29,0.3,8.28,1885.29,3.48,142.96,9.38,337.94,9.71,22.94,1,3.27,6.68%,5.59%,1.10%
1885.05,4.32,0.28,0.29,8.09,1885.37,3.47,144.65,9.4,343.79,9.82,23.34,1,3.36,6.96%,5.17%,1.79%
1885.06,4.3,0.28,0.29,7.9,1885.46,3.46,147.45,9.43,352.31,9.94,23.76,1,3.46,6.80%,4.76%,2.04%
1885.07,4.46,0.27,0.29,7.99,1885.54,3.45,151.12,9.12,362.88,9.71,23.33,1,3.43,6.71%,5.01%,1.70%
1885.08,4.71,0.26,0.28,7.99,1885.62,3.43,159.59,8.92,385.01,9.6,23.16,1,3.44,6.42%,5.13%,1.29%
1885.09,4.65,0.26,0.28,7.9,1885.71,3.42,159.45,8.83,386.46,9.6,23.27,1,3.5,6.48%,4.99%,1.50%
1885.1,4.92,0.25,0.28,7.9,1885.79,3.41,168.71,8.63,410.64,9.49,23.09,1,3.51,5.72%,4.97%,0.75%
1885.11,5.24,0.25,0.27,7.99,1885.87,3.4,177.55,8.33,433.83,9.26,22.63,1,3.48,4.82%,5.07%,-0.26%
1885.12,5.2,0.24,0.27,8.18,1885.96,3.38,172.09,7.94,422.13,8.94,21.92,1,3.42,4.65%,5.45%,-0.79%
1886.01,5.2,0.24,0.28,7.99,1886.04,3.37,176.19,8.07,433.83,9.32,22.94,1,3.51,4.43%,5.33%,-0.90%
1886.02,5.3,0.24,0.28,7.99,1886.12,3.38,179.58,8.02,443.82,9.49,23.45,1,3.52,4.81%,5.51%,-0.70%
1886.03,5.19,0.24,0.29,7.9,1886.21,3.4,177.97,8.06,441.5,9.77,24.24,1,3.56,4.74%,5.41%,-0.67%
1886.04,5.12,0.23,0.29,7.8,1886.29,3.41,177.71,8.1,442.53,10.07,25.07,1,3.61,5.00%,5.46%,-0.46%
